block,function,text,type,dynamic,full_text
8,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %29, metadata !33, metadata !DIExpression()), !dbg !144']"
8,0,sext,0,"[0, 0]","['%30 = sext i32 %29 to i64, !dbg !145']"
8,0,i32,1,,['i32 %29']
8,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %30, metadata !34, metadata !DIExpression()), !dbg !145']"
8,0,getelementptr,0,"[0, 0]","['%31 = getelementptr inbounds [1 x [10 x [64 x float]]], [1 x [10 x [64 x float]]]* %28, i64 0, i64 %30, !dbg !146']"
8,0,[1 x [10 x [64 x float]]]*,1,,['[1 x [10 x [64 x float]]]* %28']
8,0,i64,1,,['i64 %30']
8,0,call,0,"[55704397.0, 22280686.0]","['call void @llvm.dbg.value(metadata [10 x [64 x float]]* %31, metadata !35, metadata !DIExpression()), !dbg !146']"
8,0,load,0,"[0, 0]","['%32 = load i32, i32* %5, align 4, !dbg !147']"
8,0,i32*,1,,['i32* %5']
8,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %32, metadata !36, metadata !DIExpression()), !dbg !147']"
8,0,sext,0,"[200354990.0, 200354990.0]","['%33 = sext i32 %32 to i64, !dbg !148']"
8,0,i32,1,,['i32 %32']
8,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %33, metadata !37, metadata !DIExpression()), !dbg !148']"
8,0,getelementptr,0,"[0, 0]","['%34 = getelementptr inbounds [10 x [64 x float]], [10 x [64 x float]]* %31, i64 0, i64 %33, !dbg !149']"
8,0,[10 x [64 x float]]*,1,,['[10 x [64 x float]]* %31']
8,0,i64,1,,['i64 %33']
8,0,call,0,"[33380789.0, 33380789.0]","['call void @llvm.dbg.value(metadata [64 x float]* %34, metadata !38, metadata !DIExpression()), !dbg !149']"
8,0,load,0,"[22284178.0, 22284178.0]","['%35 = load i32, i32* %6, align 4, !dbg !150']"
8,0,i32*,1,,['i32* %6']
8,0,call,0,"[255991065.0, 255991065.0]","['call void @llvm.dbg.value(metadata i32 %35, metadata !39, metadata !DIExpression()), !dbg !150']"
8,0,sext,0,"[0, 0]","['%36 = sext i32 %35 to i64, !dbg !151']"
8,0,i32,1,,['i32 %35']
8,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %36, metadata !40, metadata !DIExpression()), !dbg !151']"
8,0,getelementptr,0,"[0, 0]","['%37 = getelementptr inbounds [64 x float], [64 x float]* %34, i64 0, i64 %36, !dbg !152']"
8,0,[64 x float]*,1,,['[64 x float]* %34']
8,0,i64,1,,['i64 %36']
8,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata float* %37, metadata !41, metadata !DIExpression()), !dbg !152']"
8,0,store,0,"[0, 0]","['store float 0.000000e+00, float* %37, align 4, !dbg !153']"
8,0,float*,1,,['float* %37']
8,0,store,0,"[211558258.0, 211558258.0]","['store i32 0, i32* %7, align 4, !dbg !154']"
8,0,i32*,1,,['i32* %7']
8,0,br,0,"[0, 0]","['br label %38, !dbg !155']"
9,0,load,0,"[189995356.0, 189995356.0]","['%39 = load i32, i32* %7, align 4, !dbg !156']"
9,0,i32*,1,,['i32* %7']
9,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %39, metadata !42, metadata !DIExpression()), !dbg !156']"
9,0,icmp,0,"[0, 0]","['%40 = icmp slt i32 %39, 3, !dbg !157']"
9,0,i32,1,,['i32 %39']
9,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i1 %40, metadata !43, metadata !DIExpression()), !dbg !157']"
9,0,br,0,"[66699283.0, 66699283.0]","['br i1 %40, label %41, label %108, !dbg !158']"
9,0,i1,1,,['i1 %40']
10,0,store,0,"[0, 0]","['store i32 0, i32* %8, align 4, !dbg !159']"
10,0,i32*,1,,['i32* %8']
10,0,br,0,"[144884737.0, 144884737.0]","['br label %42, !dbg !160']"
11,0,load,0,"[0, 0]","['%43 = load i32, i32* %8, align 4, !dbg !161']"
11,0,i32*,1,,['i32* %8']
11,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %43, metadata !44, metadata !DIExpression()), !dbg !161']"
11,0,icmp,0,"[0, 0]","['%44 = icmp slt i32 %43, 3, !dbg !162']"
11,0,i32,1,,['i32 %43']
11,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i1 %44, metadata !45, metadata !DIExpression()), !dbg !162']"
11,0,br,0,"[33406319.0, 33406319.0]","['br i1 %44, label %45, label %104, !dbg !163']"
11,0,i1,1,,['i1 %44']
12,0,store,0,"[155763731.0, 155763731.0]","['store i32 0, i32* %9, align 4, !dbg !164']"
12,0,i32*,1,,['i32* %9']
12,0,br,0,"[11130480.0, 11130480.0]","['br label %46, !dbg !165']"
13,0,load,0,"[0, 0]","['%47 = load i32, i32* %9, align 4, !dbg !166']"
13,0,i32*,1,,['i32* %9']
13,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %47, metadata !46, metadata !DIExpression()), !dbg !166']"
13,0,icmp,0,"[0, 0]","['%48 = icmp slt i32 %47, 12, !dbg !167']"
13,0,i32,1,,['i32 %47']
13,0,call,0,"[378415340.0, 378415340.0]","['call void @llvm.dbg.value(metadata i1 %48, metadata !47, metadata !DIExpression()), !dbg !167']"
13,0,br,0,"[765486841.0, 765486841.0]","['br i1 %48, label %49, label %100, !dbg !168']"
13,0,i1,1,,['i1 %48']
14,0,load,0,"[0, 0]","['%50 = load i32, i32* %6, align 4, !dbg !169']"
14,0,i32*,1,,['i32* %6']
14,0,call,0,"[21192502.0, 21192502.0]","['call void @llvm.dbg.value(metadata i32 %50, metadata !48, metadata !DIExpression()), !dbg !169']"
14,0,sext,0,"[0, 0]","['%51 = sext i32 %50 to i64, !dbg !170']"
14,0,i32,1,,['i32 %50']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %51, metadata !49, metadata !DIExpression()), !dbg !170']"
14,0,getelementptr,0,"[167212810.0, 167212810.0]","['%52 = getelementptr inbounds [64 x [3 x [3 x [12 x float]]]], [64 x [3 x [3 x [12 x float]]]]* @w, i64 0, i64 %51, !dbg !171']"
14,0,i64,1,,['i64 %51']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [3 x [3 x [12 x float]]]* %52, metadata !50, metadata !DIExpression()), !dbg !171']"
14,0,load,0,"[0, 0]","['%53 = load i32, i32* %7, align 4, !dbg !172']"
14,0,i32*,1,,['i32* %7']
14,0,call,0,"[22232919.0, 22232919.0]","['call void @llvm.dbg.value(metadata i32 %53, metadata !51, metadata !DIExpression()), !dbg !172']"
14,0,sext,0,"[0, 0]","['%54 = sext i32 %53 to i64, !dbg !173']"
14,0,i32,1,,['i32 %53']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %54, metadata !52, metadata !DIExpression()), !dbg !173']"
14,0,getelementptr,0,"[0, 0]","['%55 = getelementptr inbounds [3 x [3 x [12 x float]]], [3 x [3 x [12 x float]]]* %52, i64 0, i64 %54, !dbg !174']"
14,0,[3 x [3 x [12 x float]]]*,1,,['[3 x [3 x [12 x float]]]* %52']
14,0,i64,1,,['i64 %54']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [3 x [12 x float]]* %55, metadata !53, metadata !DIExpression()), !dbg !174']"
14,0,load,0,"[260216275.0, 260216275.0]","['%56 = load i32, i32* %8, align 4, !dbg !175']"
14,0,i32*,1,,['i32* %8']
14,0,call,0,"[144600639.0, 144600639.0]","['call void @llvm.dbg.value(metadata i32 %56, metadata !54, metadata !DIExpression()), !dbg !175']"
14,0,sext,0,"[0, 0]","['%57 = sext i32 %56 to i64, !dbg !176']"
14,0,i32,1,,['i32 %56']
14,0,call,0,"[444742690.0, 444742690.0]","['call void @llvm.dbg.value(metadata i64 %57, metadata !55, metadata !DIExpression()), !dbg !176']"
14,0,getelementptr,0,"[0, 0]","['%58 = getelementptr inbounds [3 x [12 x float]], [3 x [12 x float]]* %55, i64 0, i64 %57, !dbg !177']"
14,0,[3 x [12 x float]]*,1,,['[3 x [12 x float]]* %55']
14,0,i64,1,,['i64 %57']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [12 x float]* %58, metadata !56, metadata !DIExpression()), !dbg !177']"
14,0,load,0,"[0, 0]","['%59 = load i32, i32* %9, align 4, !dbg !178']"
14,0,i32*,1,,['i32* %9']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %59, metadata !57, metadata !DIExpression()), !dbg !178']"
14,0,sext,0,"[0, 0]","['%60 = sext i32 %59 to i64, !dbg !179']"
14,0,i32,1,,['i32 %59']
14,0,call,0,"[11126010.0, 11126010.0]","['call void @llvm.dbg.value(metadata i64 %60, metadata !58, metadata !DIExpression()), !dbg !179']"
14,0,getelementptr,0,"[0, 0]","['%61 = getelementptr inbounds [12 x float], [12 x float]* %58, i64 0, i64 %60, !dbg !180']"
14,0,[12 x float]*,1,,['[12 x float]* %58']
14,0,i64,1,,['i64 %60']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata float* %61, metadata !59, metadata !DIExpression()), !dbg !180']"
14,0,load,0,"[0, 0]","['%62 = load float, float* %61, align 4, !dbg !181']"
14,0,float*,1,,['float* %61']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata float %62, metadata !60, metadata !DIExpression()), !dbg !181']"
14,0,load,0,"[0, 0]","['%63 = load i32, i32* %3, align 4, !dbg !182']"
14,0,i32*,1,,['i32* %3']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %63, metadata !61, metadata !DIExpression()), !dbg !182']"
14,0,sext,0,"[0, 0]","['%64 = sext i32 %63 to i64, !dbg !183']"
14,0,i32,1,,['i32 %63']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %64, metadata !62, metadata !DIExpression()), !dbg !183']"
14,0,getelementptr,0,"[11109044.0, 11109044.0]","['%65 = getelementptr inbounds [32 x [3 x [12 x [12 x float]]]], [32 x [3 x [12 x [12 x float]]]]* @x, i64 0, i64 %64, !dbg !184']"
14,0,i64,1,,['i64 %64']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [3 x [12 x [12 x float]]]* %65, metadata !63, metadata !DIExpression()), !dbg !184']"
14,0,load,0,"[0, 0]","['%66 = load i32, i32* %4, align 4, !dbg !185']"
14,0,i32*,1,,['i32* %4']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %66, metadata !64, metadata !DIExpression()), !dbg !185']"
14,0,load,0,"[0, 0]","['%67 = load i32, i32* %7, align 4, !dbg !186']"
14,0,i32*,1,,['i32* %7']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %67, metadata !65, metadata !DIExpression()), !dbg !186']"
14,0,sub,0,"[0, 0]","['%68 = sub nsw i32 %66, %67, !dbg !187']"
14,0,i32,1,,['i32 %66']
14,0,i32,1,,['i32 %67']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %68, metadata !66, metadata !DIExpression()), !dbg !187']"
14,0,add,0,"[0, 0]","['%69 = add nsw i32 %68, 1, !dbg !188']"
14,0,i32,1,,['i32 %68']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %69, metadata !67, metadata !DIExpression()), !dbg !188']"
14,0,sext,0,"[0, 0]","['%70 = sext i32 %69 to i64, !dbg !189']"
14,0,i32,1,,['i32 %69']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %70, metadata !68, metadata !DIExpression()), !dbg !189']"
14,0,getelementptr,0,"[0, 0]","['%71 = getelementptr inbounds [3 x [12 x [12 x float]]], [3 x [12 x [12 x float]]]* %65, i64 0, i64 %70, !dbg !190']"
14,0,[3 x [12 x [12 x float]]]*,1,,['[3 x [12 x [12 x float]]]* %65']
14,0,i64,1,,['i64 %70']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [12 x [12 x float]]* %71, metadata !69, metadata !DIExpression()), !dbg !190']"
14,0,load,0,"[0, 0]","['%72 = load i32, i32* %5, align 4, !dbg !191']"
14,0,i32*,1,,['i32* %5']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %72, metadata !70, metadata !DIExpression()), !dbg !191']"
14,0,load,0,"[0, 0]","['%73 = load i32, i32* %8, align 4, !dbg !192']"
14,0,i32*,1,,['i32* %8']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %73, metadata !71, metadata !DIExpression()), !dbg !192']"
14,0,sub,0,"[0, 0]","['%74 = sub nsw i32 %72, %73, !dbg !193']"
14,0,i32,1,,['i32 %72']
14,0,i32,1,,['i32 %73']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %74, metadata !72, metadata !DIExpression()), !dbg !193']"
14,0,add,0,"[0, 0]","['%75 = add nsw i32 %74, 1, !dbg !194']"
14,0,i32,1,,['i32 %74']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %75, metadata !73, metadata !DIExpression()), !dbg !194']"
14,0,sext,0,"[0, 0]","['%76 = sext i32 %75 to i64, !dbg !195']"
14,0,i32,1,,['i32 %75']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %76, metadata !74, metadata !DIExpression()), !dbg !195']"
14,0,getelementptr,0,"[3663100013.0, 0.0]","['%77 = getelementptr inbounds [12 x [12 x float]], [12 x [12 x float]]* %71, i64 0, i64 %76, !dbg !196']"
14,0,[12 x [12 x float]]*,1,,['[12 x [12 x float]]* %71']
14,0,i64,1,,['i64 %76']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [12 x float]* %77, metadata !75, metadata !DIExpression()), !dbg !196']"
14,0,load,0,"[0, 0]","['%78 = load i32, i32* %9, align 4, !dbg !197']"
14,0,i32*,1,,['i32* %9']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %78, metadata !76, metadata !DIExpression()), !dbg !197']"
14,0,sext,0,"[0, 0]","['%79 = sext i32 %78 to i64, !dbg !198']"
14,0,i32,1,,['i32 %78']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %79, metadata !77, metadata !DIExpression()), !dbg !198']"
14,0,getelementptr,0,"[0, 0]","['%80 = getelementptr inbounds [12 x float], [12 x float]* %77, i64 0, i64 %79, !dbg !199']"
14,0,[12 x float]*,1,,['[12 x float]* %77']
14,0,i64,1,,['i64 %79']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata float* %80, metadata !78, metadata !DIExpression()), !dbg !199']"
14,0,load,0,"[0, 0]","['%81 = load float, float* %80, align 4, !dbg !200']"
14,0,float*,1,,['float* %80']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata float %81, metadata !79, metadata !DIExpression()), !dbg !200']"
14,0,fmul,0,"[0, 0]","['%82 = fmul float %62, %81, !dbg !201']"
14,0,float,1,,['float %62']
14,0,float,1,,['float %81']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata float %82, metadata !80, metadata !DIExpression()), !dbg !201']"
14,0,load,0,"[0, 0]","['%83 = load i32, i32* %3, align 4, !dbg !202']"
14,0,i32*,1,,['i32* %3']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %83, metadata !81, metadata !DIExpression()), !dbg !202']"
14,0,sext,0,"[0, 0]","['%84 = sext i32 %83 to i64, !dbg !203']"
14,0,i32,1,,['i32 %83']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i64 %84, metadata !82, metadata !DIExpression()), !dbg !203']"
14,0,getelementptr,0,"[0, 0]","['%85 = getelementptr inbounds [32 x [1 x [10 x [64 x float]]]], [32 x [1 x [10 x [64 x float]]]]* @y, i64 0, i64 %84, !dbg !204']"
14,0,i64,1,,['i64 %84']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [1 x [10 x [64 x float]]]* %85, metadata !83, metadata !DIExpression()), !dbg !204']"
14,0,load,0,"[0, 0]","['%86 = load i32, i32* %4, align 4, !dbg !205']"
14,0,i32*,1,,['i32* %4']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata i32 %86, metadata !84, metadata !DIExpression()), !dbg !205']"
14,0,sext,0,"[0, 0]","['%87 = sext i32 %86 to i64, !dbg !206']"
14,0,i32,1,,['i32 %86']
14,0,call,0,"[3658496726.0, 0.0]","['call void @llvm.dbg.value(metadata i64 %87, metadata !85, metadata !DIExpression()), !dbg !206']"
14,0,getelementptr,0,"[0, 0]","['%88 = getelementptr inbounds [1 x [10 x [64 x float]]], [1 x [10 x [64 x float]]]* %85, i64 0, i64 %87, !dbg !207']"
14,0,[1 x [10 x [64 x float]]]*,1,,['[1 x [10 x [64 x float]]]* %85']
14,0,i64,1,,['i64 %87']
14,0,call,0,"[0, 0]","['call void @llvm.dbg.value(metadata [10 x [64 x float]]* %88, metadata !86, metadata !DIExpression()), !dbg !207']"
14,0,load,0,"[0, 0]","['%89 = load i32, i32* %5, align 4, !dbg !208']"
14,0,i32*,1,,['i32* %5']
